datetime,season,holiday,workingday,weather,temp,atemp,count
2011-01-01 0:00,1,0,0,1,9.84,14.395,16
2011-01-01 1:00,1,0,0,1,9.02,13.635,40
2011-01-01 2:00,1,0,0,1,9.02,13.635,32
2011-01-01 3:00,1,0,0,1,9.84,14.395,13
2011-01-01 4:00,1,0,0,1,9.84,14.395,1
2011-01-01 5:00,1,0,0,2,9.84,12.88,1
2011-01-01 6:00,1,0,0,1,9.02,13.635,2
2011-01-01 7:00,1,0,0,1,8.2,12.88,3
2011-01-01 8:00,1,0,0,1,9.84,14.395,8
2011-01-01 9:00,1,0,0,1,13.12,17.425,14
2011-01-01 10:00,1,0,0,1,15.58,19.695,36
2011-01-01 11:00,1,0,0,1,14.76,16.665,56
2011-01-01 12:00,1,0,0,1,17.22,21.21,84
2011-01-01 13:00,1,0,0,2,18.86,22.725,94
2011-01-01 14:00,1,0,0,2,18.86,22.725,106
2011-01-01 15:00,1,0,0,2,18.04,21.97,110
2011-01-01 16:00,1,0,0,2,17.22,21.21,93
2011-01-01 17:00,1,0,0,2,18.04,21.97,67
2011-01-01 18:00,1,0,0,3,17.22,21.21,35
2011-01-01 19:00,1,0,0,3,17.22,21.21,37
2011-01-01 20:00,1,0,0,2,16.4,20.455,36
2011-01-01 21:00,1,0,0,2,16.4,20.455,34
2011-01-01 22:00,1,0,0,2,16.4,20.455,28
2011-01-01 23:00,1,0,0,2,18.86,22.725,39
2011-01-02 0:00,1,0,0,2,18.86,22.725,17
2011-01-02 1:00,1,0,0,2,18.04,21.97,17
2011-01-02 2:00,1,0,0,2,17.22,21.21,9
2011-01-02 3:00,1,0,0,2,18.86,22.725,6
2011-01-02 4:00,1,0,0,2,18.86,22.725,3
2011-01-02 6:00,1,0,0,3,17.22,21.21,2
2011-01-02 7:00,1,0,0,2,16.4,20.455,1
2011-01-02 8:00,1,0,0,3,16.4,20.455,8
2011-01-02 9:00,1,0,0,2,15.58,19.695,20
2011-01-02 10:00,1,0,0,2,14.76,17.425,53
2011-01-02 11:00,1,0,0,2,14.76,16.665,70
2011-01-02 12:00,1,0,0,2,14.76,16.665,93
2011-01-02 13:00,1,0,0,2,14.76,17.425,75
2011-01-02 14:00,1,0,0,3,14.76,17.425,59
2011-01-02 15:00,1,0,0,3,13.94,16.665,74
2011-01-02 16:00,1,0,0,3,13.94,16.665,76
2011-01-02 17:00,1,0,0,1,13.94,16.665,65
2011-01-02 18:00,1,0,0,2,14.76,16.665,53
2011-01-02 19:00,1,0,0,1,13.12,14.395,30
2011-01-02 20:00,1,0,0,1,12.3,13.635,22
2011-01-02 21:00,1,0,0,1,10.66,11.365,31
2011-01-02 22:00,1,0,0,1,9.84,10.605,9
2011-01-02 23:00,1,0,0,1,9.02,11.365,8
2011-01-03 0:00,1,0,1,1,9.02,9.85,5
2011-01-03 1:00,1,0,1,1,8.2,8.335,2
2011-01-03 4:00,1,0,1,1,6.56,6.82,1
2011-01-03 5:00,1,0,1,1,6.56,6.82,3
2011-01-03 6:00,1,0,1,1,5.74,5.305,30
2011-01-03 7:00,1,0,1,1,5.74,6.82,64
2011-01-03 8:00,1,0,1,1,5.74,6.06,154
2011-01-03 9:00,1,0,1,1,6.56,6.82,88
2011-01-03 10:00,1,0,1,1,7.38,8.335,44
2011-01-03 11:00,1,0,1,1,8.2,9.09,51
2011-01-03 12:00,1,0,1,1,9.02,10.605,61
2011-01-03 13:00,1,0,1,1,9.84,10.605,61
2011-01-03 14:00,1,0,1,1,10.66,12.12,77
2011-01-03 15:00,1,0,1,1,10.66,12.12,72
2011-01-03 16:00,1,0,1,1,10.66,12.12,76
2011-01-03 17:00,1,0,1,1,9.84,11.365,157
2011-01-03 18:00,1,0,1,1,9.84,12.88,157
2011-01-03 19:00,1,0,1,1,8.2,12.88,110
2011-01-03 20:00,1,0,1,1,8.2,11.365,52
2011-01-03 21:00,1,0,1,1,7.38,9.85,52
2011-01-03 22:00,1,0,1,1,5.74,7.575,20
2011-01-03 23:00,1,0,1,1,7.38,10.605,12
2011-01-04 0:00,1,0,1,1,6.56,9.09,5
2011-01-04 1:00,1,0,1,1,6.56,9.09,2
2011-01-04 2:00,1,0,1,1,5.74,7.575,1
2011-01-04 4:00,1,0,1,1,5.74,9.09,2
2011-01-04 5:00,1,0,1,1,4.92,7.575,4
2011-01-04 6:00,1,0,1,1,4.92,7.575,36
2011-01-04 7:00,1,0,1,1,4.92,7.575,94
2011-01-04 8:00,1,0,1,1,5.74,7.575,179
2011-01-04 9:00,1,0,1,1,6.56,7.575,100
2011-01-04 10:00,1,0,1,2,6.56,6.82,42
2011-01-04 11:00,1,0,1,1,9.02,10.605,57
2011-01-04 12:00,1,0,1,1,9.02,11.365,78
2011-01-04 13:00,1,0,1,1,9.84,11.365,97
2011-01-04 14:00,1,0,1,1,10.66,12.88,63
2011-01-04 15:00,1,0,1,1,11.48,13.635,65
2011-01-04 16:00,1,0,1,1,12.3,14.395,83
2011-01-04 17:00,1,0,1,1,11.48,13.635,212
2011-01-04 18:00,1,0,1,1,10.66,12.88,182
2011-01-04 19:00,1,0,1,1,9.84,12.88,112
2011-01-04 20:00,1,0,1,1,9.84,12.88,54
2011-01-04 21:00,1,0,1,1,9.02,13.635,48
2011-01-04 22:00,1,0,1,1,9.02,12.88,35
2011-01-04 23:00,1,0,1,1,8.2,11.365,11
2011-01-05 0:00,1,0,1,1,8.2,12.88,6
2011-01-05 1:00,1,0,1,1,6.56,9.85,6
2011-01-05 2:00,1,0,1,1,6.56,9.85,2
2011-01-05 4:00,1,0,1,1,9.84,11.365,2
2011-01-05 5:00,1,0,1,1,9.02,11.365,3
2011-01-05 6:00,1,0,1,1,8.2,9.85,33
2011-01-05 7:00,1,0,1,1,7.38,9.09,88
2011-01-05 8:00,1,0,1,1,8.2,9.09,195
2011-01-05 9:00,1,0,1,1,9.02,9.85,115
2011-01-05 10:00,1,0,1,1,9.02,9.85,57
2011-01-05 11:00,1,0,1,1,10.66,11.365,46
2011-01-05 12:00,1,0,1,1,10.66,11.365,79
2011-01-05 13:00,1,0,1,1,11.48,12.88,71
2011-01-05 14:00,1,0,1,1,12.3,14.395,62
2011-01-05 15:00,1,0,1,1,12.3,14.395,62
2011-01-05 16:00,1,0,1,1,12.3,15.91,89
2011-01-05 17:00,1,0,1,1,9.84,11.365,190
2011-01-05 18:00,1,0,1,1,9.84,12.12,169
2011-01-05 19:00,1,0,1,1,9.84,12.88,132
2011-01-05 20:00,1,0,1,1,9.02,11.365,89
2011-01-05 21:00,1,0,1,1,8.2,9.85,43
2011-01-05 22:00,1,0,1,1,7.38,9.85,42
2011-01-05 23:00,1,0,1,1,8.2,12.88,19
2011-01-06 0:00,1,0,1,1,7.38,12.12,11
2011-01-06 1:00,1,0,1,1,6.56,11.365,4
2011-01-06 2:00,1,0,1,1,6.56,11.365,2
2011-01-06 4:00,1,0,1,2,6.56,9.85,1
2011-01-06 5:00,1,0,1,2,5.74,9.09,4
2011-01-06 6:00,1,0,1,2,5.74,8.335,36
2011-01-06 7:00,1,0,1,2,6.56,11.365,95
2011-01-06 8:00,1,0,1,1,6.56,11.365,219
2011-01-06 9:00,1,0,1,2,7.38,12.12,122
2011-01-06 10:00,1,0,1,1,8.2,12.88,45
2011-01-06 11:00,1,0,1,1,9.02,12.88,59
2011-01-06 12:00,1,0,1,1,10.66,14.395,84
2011-01-06 13:00,1,0,1,1,10.66,13.635,67
2011-01-06 14:00,1,0,1,1,11.48,13.635,70
2011-01-06 15:00,1,0,1,1,11.48,13.635,62
2011-01-06 16:00,1,0,1,1,10.66,12.88,86
2011-01-06 17:00,1,0,1,1,9.02,11.365,172
2011-01-06 18:00,1,0,1,1,9.02,11.365,163
2011-01-06 19:00,1,0,1,1,9.02,12.88,112
2011-01-06 20:00,1,0,1,1,8.2,10.605,69
2011-01-06 21:00,1,0,1,2,9.02,10.605,48
2011-01-06 22:00,1,0,1,2,9.02,10.605,52
2011-01-06 23:00,1,0,1,2,8.2,9.85,23
2011-01-07 0:00,1,0,1,2,8.2,9.85,17
2011-01-07 1:00,1,0,1,2,8.2,9.85,7
2011-01-07 2:00,1,0,1,2,8.2,9.85,1
2011-01-07 4:00,1,0,1,2,8.2,10.605,1
2011-01-07 5:00,1,0,1,3,9.02,13.635,5
2011-01-07 6:00,1,0,1,2,8.2,12.88,34
2011-01-07 7:00,1,0,1,1,8.2,10.605,84
2011-01-07 8:00,1,0,1,1,8.2,9.85,210
2011-01-07 9:00,1,0,1,1,8.2,9.09,134
2011-01-07 10:00,1,0,1,1,9.02,9.85,63
2011-01-07 11:00,1,0,1,2,8.2,9.85,67
2011-01-07 12:00,1,0,1,2,8.2,9.85,59
2011-01-07 13:00,1,0,1,2,8.2,9.09,73
2011-01-07 14:00,1,0,1,2,8.2,9.85,50
2011-01-07 15:00,1,0,1,2,8.2,10.605,72
2011-01-07 16:00,1,0,1,2,8.2,10.605,87
2011-01-07 17:00,1,0,1,2,8.2,12.88,187
2011-01-07 18:00,1,0,1,1,8.2,11.365,123
2011-01-07 19:00,1,0,1,1,6.56,9.85,95
2011-01-07 20:00,1,0,1,1,7.38,10.605,51
2011-01-07 21:00,1,0,1,1,7.38,9.85,39
2011-01-07 22:00,1,0,1,2,7.38,9.85,36
2011-01-07 23:00,1,0,1,2,7.38,9.85,15
2011-01-08 0:00,1,0,0,2,7.38,9.85,25
2011-01-08 1:00,1,0,0,2,7.38,10.605,16
2011-01-08 2:00,1,0,0,2,7.38,12.12,16
2011-01-08 3:00,1,0,0,3,7.38,9.85,7
2011-01-08 4:00,1,0,0,3,7.38,9.85,1
2011-01-08 5:00,1,0,0,2,6.56,8.335,5
2011-01-08 6:00,1,0,0,2,6.56,8.335,2
2011-01-08 7:00,1,0,0,2,6.56,9.09,9
2011-01-08 8:00,1,0,0,3,6.56,9.09,15
2011-01-08 9:00,1,0,0,3,6.56,9.09,20
2011-01-08 10:00,1,0,0,2,7.38,9.85,61
2011-01-08 11:00,1,0,0,2,8.2,9.09,62
2011-01-08 12:00,1,0,0,2,8.2,9.09,98
2011-01-08 13:00,1,0,0,1,8.2,9.09,102
2011-01-08 14:00,1,0,0,1,8.2,8.335,95
2011-01-08 15:00,1,0,0,1,8.2,8.335,74
2011-01-08 16:00,1,0,0,1,7.38,6.82,76
2011-01-08 17:00,1,0,0,1,6.56,6.06,69
2011-01-08 18:00,1,0,0,1,5.74,6.06,55
2011-01-08 19:00,1,0,0,1,5.74,6.06,30
2011-01-08 20:00,1,0,0,1,4.92,6.06,28
2011-01-08 21:00,1,0,0,1,4.92,5.305,37
2011-01-08 22:00,1,0,0,1,4.92,5.305,34
2011-01-08 23:00,1,0,0,1,4.1,3.03,22
2011-01-09 0:00,1,0,0,1,4.1,3.79,25
2011-01-09 1:00,1,0,0,1,4.1,3.03,12
2011-01-09 2:00,1,0,0,1,4.1,3.03,11
2011-01-09 3:00,1,0,0,1,4.1,3.79,4
2011-01-09 4:00,1,0,0,1,3.28,4.545,1
2011-01-09 5:00,1,0,0,1,3.28,4.545,1
2011-01-09 6:00,1,0,0,1,4.1,4.545,1
2011-01-09 7:00,1,0,0,1,3.28,4.545,6
2011-01-09 8:00,1,0,0,1,4.1,4.545,10
2011-01-09 9:00,1,0,0,1,4.92,3.79,19
2011-01-09 10:00,1,0,0,1,5.74,5.305,49
2011-01-09 11:00,1,0,0,1,6.56,6.06,49
2011-01-09 12:00,1,0,0,1,7.38,6.82,83
2011-01-09 13:00,1,0,0,1,8.2,8.335,75
2011-01-09 14:00,1,0,0,1,9.02,9.09,72
2011-01-09 15:00,1,0,0,1,9.02,9.85,82
2011-01-09 16:00,1,0,0,1,8.2,8.335,92
2011-01-09 17:00,1,0,0,1,7.38,7.575,62
2011-01-09 18:00,1,0,0,1,6.56,6.82,48
2011-01-09 19:00,1,0,0,1,6.56,6.82,41
2011-01-09 20:00,1,0,0,1,5.74,6.06,38
2011-01-09 21:00,1,0,0,1,5.74,5.305,20
2011-01-09 22:00,1,0,0,1,5.74,6.06,15
2011-01-09 23:00,1,0,0,1,4.92,6.82,6
2011-01-10 0:00,1,0,1,1,4.92,6.06,5
2011-01-10 1:00,1,0,1,1,4.92,6.06,1
2011-01-10 2:00,1,0,1,1,4.92,6.06,3
2011-01-10 3:00,1,0,1,1,4.92,6.06,1
2011-01-10 4:00,1,0,1,1,4.1,6.06,3
2011-01-10 5:00,1,0,1,1,4.1,5.305,3
2011-01-10 6:00,1,0,1,1,4.92,6.06,31
2011-01-10 7:00,1,0,1,1,4.92,6.06,77
2011-01-10 8:00,1,0,1,2,4.92,6.06,188
2011-01-10 9:00,1,0,1,2,5.74,6.06,94
